Tabela/View;Campo;Propriedade;Português do Brasil (Nativo);Espanhol
E000ACR;CODEMP;1;Empresa;Empresa
E000ACR;CODEMP;2;Empresa;Empresa
E000ACR;CODEMP;3;Código da empresa;Codigo de compañia
E000ACR;CODFIL;1;Filial;Subsidiaria
E000ACR;CODFIL;2;Filial;Subsidiaria
E000ACR;CODFIL;3;Código da filial;Código de sucursal
E000ACR;DATENT;1;Data Ent.;Fecha de entrada
E000ACR;DATENT;2;Data Entrada;Entrada de fecha
E000ACR;DATENT;3;Data da entrada;Fecha de entrada
E000ACR;SEQENT;1;Seq. Ent.;Sec. Ent.
E000ACR;SEQENT;2;Sequência Entrada;Secuencia de entrada
E000ACR;SEQENT;3;Sequência de entrada na data;Secuencia de entrada de fecha
E000ACR;SEQINT;1;Seq;secuencia
E000ACR;SEQINT;2;Sequência;Secuencia
E000ACR;SEQINT;3;Sequência da integração;Secuencia de integración
E000AEC;CODAEC;1;Autenticador Externo;Autenticador externo
E000AEC;CODAEC;2;Autenticador Externo;Autenticador externo
E000AEC;CODAEC;3;Código do autenticador externo de crédito de clientes;Código de autenticación externo de crédito del cliente
E000AEC;CODEMP;1;Empresa;Empresa
E000AEC;CODEMP;2;Empresa;Empresa
E000AEC;CODEMP;3;Código da empresa;Codigo de compañia
E000AEC;CODFIL;1;Filial;Subsidiaria
E000AEC;CODFIL;2;Filial;Subsidiaria
E000AEC;CODFIL;3;Código da filial;Código de sucursal
E000AEC;SEQINT;1;Num. Sequencial;Numero secuencial
E000AEC;SEQINT;2;Num. Sequencial;Numero secuencial
E000AEC;SEQINT;3;Número sequencial dos registros de integração;Número secuencial de registros de integración
E000AGC;CODAGP;1;Código;Codigo
E000AGC;CODAGP;2;Código;Codigo
E000AGC;CODAGP;3;Código do agrupamento;código de agrupación
E000AGC;CODEMP;1;Empresa;Empresa
E000AGC;CODEMP;2;Empresa;Empresa
E000AGC;CODEMP;3;Código da empresa;Codigo de compañia
E000AGC;CODFIL;1;Filial;Subsidiaria
E000AGC;CODFIL;2;Filial;Subsidiaria
E000AGC;CODFIL;3;Código da filial;Código de sucursal
E000AGC;SEQINT;1;Num. Sequencial;Numero secuencial
E000AGC;SEQINT;2;Num. Sequencial;Numero secuencial
E000AGC;SEQINT;3;Número sequencial dos registros de integração;Número secuencial de registros de integración
E000AGE;ACAARQ;1;Ação Arq.;Arco de Acción.
E000AGE;ACAARQ;2;Ação Sobre Arquivo;Acción en el archivo
E000AGE;ACAARQ;3;Indica a ação a ser tomada sobre o arquivo;Indica la acción a realizar sobre el expediente.
E000AGE;ACAERR;1;Ação Arq. Erros;Arco de Acción. Errores
E000AGE;ACAERR;2;Ação sobre arquivo ao ocorrer erros;Acción registrada cuando ocurren errores
E000AGE;ACAERR;3;Indica a ação a ser tomada sobre o arquivo quando importado com erros (tipos de processo: M);Indica la acción a realizar sobre el archivo cuando se importa con errores (tipos de proceso: M)
E000AGE;ANXMSG;1;Anexos Msg.;Mensaje de archivos adjuntos.
E000AGE;ANXMSG;2;Anexos Mensagem;Mensaje de archivos adjuntos
E000AGE;ANXMSG;3;Caminho dos anexos da mensagem (tipos de processo: I);Ruta de los archivos adjuntos de mensajes (tipos de proceso: I)
E000AGE;ARQENT;1;Arq. Entrada;Arc. Prohibido
E000AGE;ARQENT;2;Arquivo Entrada;Fichero de entrada
E000AGE;ARQENT;3;Nome do arquivo de entrada;Nombre del archivo de entrada
E000AGE;ARQMOD;1;Arq. Modelo;Arc. Modelo
E000AGE;ARQMOD;2;Arquivo Modelo;Archivo de modelo
E000AGE;ARQMOD;3;Nome do arquivo do modelo;Nombre del archivo de plantilla
E000AGE;ARQSAI;1;Arq. Saída;Arc. Salida
E000AGE;ARQSAI;2;Arquivo Saída;Archivo de salida
E000AGE;ARQSAI;3;Nome do arquivo de saída;Nombre del archivo de salida
E000AGE;ARQXSL;1;Arquivo Transformação;Archivo de transformación
E000AGE;ARQXSL;2;Arq. Transformação;Arc. Transformación
E000AGE;ARQXSL;3;Arquivo de transformação XSLT utilizando XML;Archivo de transformación XSLT usando XML
E000AGE;ASSMSG;1;Assunto Msg.;Mensaje de asunto.
E000AGE;ASSMSG;2;Assunto Mensagem;Asunto del mensaje
E000AGE;ASSMSG;3;Descrição do assunto da mensagem (tipos de processo: I);Descripción del asunto del mensaje (tipos de proceso: I)
E000AGE;CAMMOE;1;Cam Mov Erro;Error de movimiento de cámara
E000AGE;CAMMOE;2;Caminho mover arquivo erro;Error de archivo al mover ruta
E000AGE;CAMMOE;3;Caminho para mover o arquivo na ação de mover arquivo em caso de erros.;Ruta para mover el archivo en la acción mover archivo en caso de errores.
E000AGE;CAMMOV;1;Cam Mov Arq;Archivo Cam Mov
E000AGE;CAMMOV;2;Caminho mover arquivo;Ruta de movimiento de archivos
E000AGE;CAMMOV;3;Caminho para mover o arquivo na ação de mover arquivo.;Ruta para mover el archivo en la acción de mover archivo.
E000AGE;CCPMSG;1;Cópia Msg.;Copiar mensaje.
E000AGE;CCPMSG;2;Cópia Mensagem;Copiar mensaje
E000AGE;CCPMSG;3;Endereço dos destinatários de cópia da mensagem (tipos de processo: I);Dirección de los destinatarios de la copia del mensaje (tipos de proceso: I)
E000AGE;CMDSQL;1;Com. SQL;Com. SQL.
E000AGE;CMDSQL;2;Comando SQL;comando SQL
E000AGE;CMDSQL;3;Comando SQL a ser executado (tipos de processo: Q);Comando SQL a ejecutar (tipos de proceso: Q)
E000AGE;CODISG;1;Cod. Insight;Código. Conocimiento
E000AGE;CODISG;2;Código Insight;Código de conocimiento
E000AGE;CODISG;3;Código do insight de processo automático;Código de conocimiento del proceso automático
E000AGE;CODPRA;1;Processo;Proceso
E000AGE;CODPRA;2;Código Processo;Código de proceso
E000AGE;CODPRA;3;Código do processo automático;Código de proceso automático
E000AGE;CODREG;1;Regra;Regla
E000AGE;CODREG;2;Código Regra;Código de regla
E000AGE;CODREG;3;Código da regra (tipos de processo: G);Código de regla (tipos de proceso: G)
E000AGE;CODUSU;1;Usu. Exe.;Usú. Ex.
E000AGE;CODUSU;2;Usuário Execução;Usuario de ejecución
E000AGE;CODUSU;3;Código do usuário responsável pela execução do processo automático;Código de usuario responsable de ejecutar el proceso automático
E000AGE;DATALT;1;Data Últ. Alter.;Ultima cita Alterar.
E000AGE;DATALT;2;Data Última Alteração;Fecha de última modificación
E000AGE;DATALT;3;Data da última alteração do registro;Fecha del último cambio de registro
E000AGE;DATGER;1;Data Geração;Fecha de generación
E000AGE;DATGER;2;Data da Geração;Fecha de generación
E000AGE;DATGER;3;Data da geração do registro;Fecha de generación del registro
E000AGE;DESPRA;1;Descrição;Descripción
E000AGE;DESPRA;2;Descrição Processo;Descripción del proceso
E000AGE;DESPRA;3;Descrição do processo automático;Descripción del proceso automático.
E000AGE;DIAUTI;1;Dias Úteis;Días hábiles
E000AGE;DIAUTI;2;Somente Dias Úteis;Sólo días hábiles
E000AGE;DIAUTI;3;Indica se o processo deve ser executado somente em dias úteis;Indica si el trámite solo debe realizarse en días hábiles
E000AGE;DSTMSG;1;Destinatário Msg.;Mensaje del destinatario.
E000AGE;DSTMSG;2;Destinatário Mensagem;Destinatario del mensaje
E000AGE;DSTMSG;3;Endereço dos destinatários da mensagem (tipos de processo: I);Dirección de los destinatarios del mensaje (tipos de proceso: I)
E000AGE;EMPEXE;1;Emp. Exe.;Emp. Ex.
E000AGE;EMPEXE;2;Empresa Execução;Ejecución de la empresa
E000AGE;EMPEXE;3;Código da empresa onde o processo automático será executado;Código de empresa donde se ejecutará el proceso automático
E000AGE;ESTPRA;1;Estado;Estado
E000AGE;ESTPRA;2;Estado Processo;Estado del proceso
E000AGE;ESTPRA;3;Estado do processo automático em relação ao controle do agendador;Estado del proceso automático en relación con el control del planificador.
E000AGE;FILEXE;1;Fil. Exe.;Fil. Ex.
E000AGE;FILEXE;2;Filial Execução;Rama de Ejecución
E000AGE;FILEXE;3;Código da filial onde o processo automático será executado;Código de sucursal donde se ejecutará el proceso automático
E000AGE;HOFVAL;1;Hora Fim Val.;Valor del tiempo de finalización.
E000AGE;HOFVAL;2;Hora Final Validade;Validez del tiempo de finalización
E000AGE;HOFVAL;3;Hora final de validade para execução do processo automático;Hora de finalización de validez para la ejecución automática del proceso.
E000AGE;HOIVAL;1;Hora Ini. Val.;Hora de inicio. Val.
E000AGE;HOIVAL;2;Horário Validade;Tiempo de validez
E000AGE;HOIVAL;3;Hora inicial de validade para execução do processo automático;Hora de inicio de validez para la ejecución automática del proceso.
E000AGE;HORALT;1;Hora Últ. Alter.;Ultima vez Alterar.
E000AGE;HORALT;2;Hora Última Alteração;Hora del último cambio
E000AGE;HORALT;3;Hora da última alteração do registro;Hora del último cambio de registro
