Tabela/View;Português do Brasil (Nativo);Espanhol
E000ACR;Tabelas - Integrações - Hub de Royalties - Atualização de Consumo de Royalties;Tablas - Integraciones - Royalty Hub - Actualización del consumo de regalías
E000AEC;Tabelas - Integrações - Autenticadores Externos de Créditos de Cliente;Tablas - Integraciones - Autenticadores Externos de Crédito de Cliente
E000AGC;Tabelas - Integrações - Agrupamentos;Tablas - Integraciones - Agrupaciones
E000AGE;Cadastros - Processos Automáticos;Maestros - Procesos Automáticos
E000ALE;Alíquota de partilha de ICMS para venda não presencial entre estados;Alícuota de intercambio de ICMS* para venta no presencial entre estados
E000ANX;Tabelas - Controle de arquivos anexos;Tablas - Control de archivos anexos
E000ATN;Tabelas - Integrações - Registro de alterações de títulos do autenticador externo;Tablas - Integraciones - Registro de alteraciones de títulos del autenticador externo
E000ATV;Tabelas - Integrações - Atributos de Vendas;Tabeas - Integraciones - Atributos de Ventas
E000ATX;Tabelas - Autotextos;Tablas - Autotextos
E000AVA;Cadastros - Definição de avalistas para os documentos de contrato, pedido e nota fiscal;Registros - Definición de asegurador para los documentos de contrato, pedido y factura
E000BAL;Cadastro de Definições de Leitura da Balança;Registro de Definiciones de Lectura de Balanza
E000BAN;Tabelas - Integrações - Bancos;Tablas - Integraciones - Bancos
E000BCP;Tabelas - Integrações - Títulos a Pagar - Baixas por compensação;Tablas - Integraciones - Títulos por Pagar - Bajas por compensación
E000BDE;Tabelas - Integrações - Log bloqueio/desbloqueio de estoque via WMS;Tablas - Integraciones - Log bloqueo/desbloqueo de deposito vía WMS
E000BEM;Tabelas - Integrações - Bem;Tablas -Integraciones - Bién
E000BNF;Tabelas - Integrações - Situações Tributárias X Dispositivo Fiscal;Tablas - Integraciones - Situaciones Fiscales
E000BUS;Tabela - Busca Avançada - Geral;Tabla - Búsqueda Avanzada - General
E000CAP;Tabelas - Integrações - Categoria de Produtos;Tablas - Integraciones - Categoría de Productos
E000CCA;Tabelas - Integrações - Categorias de Crédito;Tablas - Integraciones - Categorías de Crédito
E000CCC;Tabelas - Gerais - Controle de consumo de códigos diversos;Tablas - Generales - Control de consumo de códigos diversos
E000CCO;Tabelas - Integrações - Contas Internas;Tablas - Integraciones - Cuentas Internas
E000CCU;Tabelas - Integrações - Centro de Custos;Tablas - Integraciones - Centro de Costos
E000CEP;Tabelas - Integrações - Ceps;Integraciones - Control de Generación de Informes
E000CER;Tabelas - Integrações - Hub de Royalties - Cancelamento de Entrega de Royalties dos Participantes;Tablas - Integraciones - Royalty Hub - Cancelación de entrega de regalías del participante
E000CES;Vendas/Compras - Controle de Entrada e Saída - Dados Gerais;Ventas/Compras - Control de Entrada y Salida - Datos Generales
E000CFP;Tabelas - Parâmetros - Campos por forma de pagamento;Tablas - Parámetros - Campos por forma de pago
E000CFR;Tabelas - Integrações - Hub de Royalties - Cancelamento de Fixação de Royalties;Tablas - Integraciones - Royalty Hub - Cancelación de Fijación de Regalías
E000CGR;Integrações - Controle de Geração de Relatórios;Tablas - Integraciones ¿ CPs
E000CHE;Tabelas - Integrações - Preparação de Tesouraria (Cheques/Avisos);Tablas - Integraciones - Preparación de Tesorería (Cheques/Avisos)
E000CID;Tabelas - Integrações - Cidades;Tablas - Integraciones - Ciudades
E000CIM;Tabelas - Integrações - Controle de Importações;Tablas - Integraciones - Control de Importaciones
E000CIR;Tabelas - Integrações - Hub de Royalties - Compra Imediata Royalties dos Participantes;Tablas - Integraciones - Centro de Regalías - Compra Inmediata Regalías de los Participantes
E000CIX;Tabelas - Integrações - Controle de registros integrados;Tablas - Integraciones - Control de registros integrados
E000CLC;Tabelas - Integrações - Coleções de Produtos;Tablas - Integraciones - Colecciones de Productos
E000CLF;Tabelas - Integrações - Classificações fiscais;Tablas - Integraciones - Clasificaciones fiscales
E000CLG;Cadastros - Log Genérico - Colunas para Não Gerar;Registros - Log Genérico - Columnas para No Generar
E000CLI;Tabelas - Integrações - Clientes;Tablas - Integraciones - Clientes
E000CMC;Integrações - Convênios Movimento de Conta;Integraciones - Convenios Movimiento de Cuenta
E000CMP;Integrações - Configuração de web service - Campos exportados;Integraciones - Configuración de web service - Campos exportados
E000CNV;Tabelas - Integrações - Convênios;Tablas - Integraciones - Convenios
E000COR;Tabelas - Gerais - Cores;Tablas - Generales - Colores
E000CPG;Tabelas - Integrações - Condições de Pagamento;Tablas - Integraciones - Condiciones de Pago
E000CPV;Tabelas - Integrações - Pendência de Configurações Parâmetros Valores;Tablas - Integraciones - Pendencia de Configuraciones Parámetros Valores
E000CRR;Tabelas - Gerais - Correct Control;Tablas - Generales - Control Correctivo
E000CRT;Tabelas - Integrações - Carteiras de cobrança;Tablas - Integraciones - Carteras de cobranza
E000CSE;Integrações - Varejo - Controle de Séries Externas;Integraciones - Venta al detal - Control de Series Externas
E000CSI;Tabelas - Integração - Cadastro de serviços intermediados;Tablas - Integración - Registro de servicios intermediados
E000CTC;Tabelas - Integrações - Movimento de Cota Capital;Tablas - Integraciones - Movimiento de Cuotas de Capital
E000CTR;Tabelas - Integrações - Contrato de Venda;Tablas - Integraciones - Contrato de venta
E000CWS;Integrações - Configuração de web service;Integraciones - Configuración de web service
E000CXC;Tabelas - Integrações - Controle de Cupons X Convênios;Tablas - Integraciones - Control de Comprobantes X Convenios
E000CXU;Tabelas - Integrações - Ligação Categoria Produto x Usuarios;Tablas - Integraciones - Relación Categoría Producto x Usuarios
E000DCD;Tabelas - Gerais - Diretiva de Coleta de Dados do Cliente;Tablas - Generales - Directiva de Colecta de Datos del Cliente
E000DCF;Tabelas - Integrações - Dados do cálculo de frete;Tablas - Integraciones - Datos de cálculo de flete
E000DEP;Tabelas - Integrações - Depósitos;Tablas - Integraciones - Depósitos
E000DLS;Tabelas - Recebimento de Documentos Eletrônicos - Entrada, Vencimento, Lote, Série;Tablas - Recibimiento de Documentos Electrónicos - Entrada, Vencimiento, Lote, Serie
E000DME;Tabelas - Integrações - Definições de Metas;Tablas - Integraciones - Definiciones de Metas
E000DOW;Tabelas - Integrações - Distribuição de lote/série de itens de ordens de separação/recebimento;Tablas - Integraciones - Distribución de lote/serie de elementos de órdenes de separación/recibimiento
E000DVS;Tabelas - Integrações - Notas fiscais de saída - Devolução;Tablas - Integraciones - Facturas salientes - Devoluciones
E000EBQ;Tabelas - Integrações - Serviço de Frete da Filial;Tablas - Integraciones - Servicio de Flete de la Sucursal
E000EEP;Parâmetros de execução de processos para fechamento da Controladoria;Parámetros de ejecución de procesos para cierre de Contraloría
E000EIC;Tabelas - Integrações - Exceções de Integração de Cupom Fiscal;Tablas - Integraciones - Excepciones de Integración de Comprobante Fiscal
E000EIS;Tabelas - Integrações - Exceções de Integração com Sistemas Terceiros;Tablas - Integraciones - Excepciones de Integración con Sistemas Terceros
E000EIW;Tabelas - Integrações - Exceções da integração;Tablas - Integraciones - Excepciones de la integración
E000EIZ;Tabelas - Integrações - Exceções de Integração de Redução Z;Tablas - Integraciones - Excepciones de Integración de Reducción Z
E000EMB;Tabelas - Integrações - Tipos de Embalagem;Tablas - Integraciones - Tipos de Paquete
E000EME;Tabelas - Integrações - Requisições Estoque;Tablas - Integraciones - Requisiciones Deposito
E000EMI;Tabelas - Integração - Requisição de Estoques - Controle de integração;Tablas - Integración - Requisición de Stocks - Control de integración
E000EMS;Tabelas - Ext. Dados - Log de tentativa de acesso por módulo;Tablas - Ext. Datos - Registro de intentos de acceso por módulo
E000ENE;Tabelas - Integrações - Cancelamento notas fiscais de entrada;Tablas - Integraciones - Cancelación facturas de entrada
E000ENR;Tabelas - Integrações - Hub de Royalties - Entrega de Royalties dos Participantes;Tablas - Integraciones - Centro de regalías - Entrega de regalías a participantes
E000ENT;Tabelas - Integrações - Entregas Varejo;Tablas - Integraciones - Entregas Minorista
E000EOW;Tabelas - Integrações - Embalagens da ordem WMS;Tablas - Integraciones - Paquetes de la orden WMS
E000EPS;Estados de passagem do percurso do MDF-e;Estados de pasaje del percurso del MDF-e*
E000EPT;Tabelas - Integrações - Exceções de Integração de Pagamento de Títulos;Tablas - Integraciones - Excepciones de Integración de Pago de Títulos
